Ebola_Cases,Province,Town,Year,Violent_Incidents,Disasters
0,North_Kivu,Beni,2017,8,1
213,North_Kivu,Beni,2018,27,0
482,North_Kivu,Beni,2019,20,0
31,North_Kivu,Beni,2020,27,1
0,North_Kivu,Beni,2021,14,0
0,Ituri,Bunia,2017,0,1
0,Ituri,Bunia,2018,0,0
5,Ituri,Bunia,2019,0,0
0,Ituri,Bunia,2020,0,0
0,Ituri,Bunia,2021,4,0
0,North_Kivu,Butembo,2017,0,1
41,North_Kivu,Butembo,2018,2,0
246,North_Kivu,Butembo,2019,4,0
8,North_Kivu,Butembo,2020,0,1
0,North_Kivu,Butembo,2021,7,0
0,North_Kivu,Kalunguta,2017,0,1
39,North_Kivu,Kalunguta,2018,0,0
160,North_Kivu,Kalunguta,2019,0,0
1,North_Kivu,Kalunguta,2020,0,1
0,North_Kivu,Kalunguta,2021,0,0
0,North_Kivu,Katwa,2017,0,1
78,North_Kivu,Katwa,2018,0,0
574,North_Kivu,Katwa,2019,0,0
1,North_Kivu,Katwa,2020,0,1
0,North_Kivu,Katwa,2021,0,0
0,North_Kivu,Mabalako,2017,0,1
86,North_Kivu,Mabalako,2018,0,0
364,North_Kivu,Mabalako,2019,0,0
13,North_Kivu,Mabalako,2020,0,1
0,North_Kivu,Mabalako,2021,0,0
0,Ituri,Mandima,2017,0,1
17,Ituri,Mandima,2018,0,0
331,Ituri,Mandima,2019,0,0
0,Ituri,Mandima,2020,0,0
0,Ituri,Mandima,2021,0,0
