Individual ID,Current Teammates,Workout Together,Weekend Sports,Attended Game,Homework Together,Class 1,Class 2,Class 3,Class 4
1,1,1,0,1,1,1,0,0,1
2,1,1,1,1,1,1,1,1,0
3,1,1,1,1,1,1,0,1,0
4,1,1,1,1,1,0,1,0,1
5,1,1,0,1,1,0,1,0,1
6,0,1,0,1,1,0,0,1,0
7,0,1,1,1,1,0,0,1,1
8,1,0,0,1,0,0,1,0,1
9,1,0,0,1,0,0,1,0,0
10,1,0,0,1,1,0,0,1,1
11,0,0,0,0,0,1,0,0,0
12,1,0,0,0,0,0,1,0,0
13,0,0,0,0,0,1,1,0,0
14,1,0,0,1,0,1,0,0,0
15,1,0,0,0,0,1,0,0,1
16,1,0,0,0,0,0,1,0,0
17,1,0,0,0,0,0,0,1,0
18,0,0,0,0,0,1,0,0,0
19,1,0,0,1,1,1,1,0,0
20,0,0,0,0,0,0,0,1,0
21,0,0,0,0,1,0,0,1,1
22,1,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,1,0,0
25,0,0,0,0,0,0,1,0,0
